"Program","College","Age","Gender","FirstGen","Race","TSI_MATH","TSI_WRITING","TSI_READING","MotherEducation","FatherEducation","Homeschooled","HasGED","Highschool","FinAid","EFC"
"Cosmetology","Career and Technical",26,"Male","Unknown","Hispanic/Latino","321","348","329","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Respiratory Care","Health Science",31,"Female","Unknown","Hispanic/Latino","357","364","362","Unknown","Unknown",0,0,"LAMESA HIGH SCHOOL","FED PELL GRANT","0"
"Biology","Math and Science",29,"Female","Unknown","Hispanic/Latino","343","240","276","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Respiratory Care","Health Science",25,"Female","Unknown","Black or African American","324","364","342","Unknown","Unknown",0,0,"PERMIAN HIGH SCHOOL","OTHER","4100"
"Energy Technology","Career and Technical",21,"Male","No","Hispanic/Latino","923","918","918","High School Diploma or GED","Bachelor/Four-year Degree",0,0,"Midland High School","OTHER","9999999"
"Business Administration","Business",26,"Female","No","Hispanic/Latino","40","74","92","High School Diploma or GED","Bachelor/Four-year Degree",0,0,"Midland High School","FED PELL GRANT","1345"
"Paralegal","Career and Technical",34,"Female","No","White","38","82","88","Associate Degree","High School Diploma or GED",0,0,"GREENWOOD HIGH SCHOOL","OTHER","50852"
"Nursing-Associate Degree","Health Science",24,"Female","Unknown","Black or African American","335","352","344","Unknown","Unknown",0,1,"Midland High School","FED PELL GRANT","9999999"
"Organizational Management","Business",34,"Male","Unknown","White","41","89","90","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Arts","Language and Fine Arts",24,"Male","Unknown","Hispanic/Latino","354","360","340","Unknown","Unknown",0,0,"Midland High School","OTHER","7546"
"Organizational Management","Business",47,"Female","Unknown","Hispanic/Latino","330","373","364","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Nursing-Associate Degree","Health Science",33,"Female","Yes","Hispanic/Latino","328","358","357","Some High School","Some High School",0,0,"Out Of State Unknown Ceeb Code","FED PELL GRANT","0"
"Nursing-Associate Degree","Health Science",28,"Female","Yes","Hispanic/Latino","NULL","371","356","No High School","Some High School",0,0,"MISD- LHS","OTHER","12635"
"Office Systems Technology","Career and Technical",30,"Female","Yes","Hispanic/Latino","334","361","362","Some High School","Some High School",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Business Administration","Business",42,"Female","Yes","Hispanic/Latino","330","378","354","Some High School","High School Diploma or GED",0,1,"Texas Ged","OTHER","0"
"Psychology","Social and Behavioral Science",44,"Female","Unknown","Hispanic/Latino","310","341","337","Unknown","Unknown",0,1,"Texas Ged","OTHER","9999999"
"Business Management","Business",40,"Female","Yes","Hispanic/Latino","920","340","333","No High School","No High School",0,0,"Midland High School","OTHER","0"
"Health Information Management","Health Science",22,"Female","Unknown","Hispanic/Latino","345","364","351","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Biology","Math and Science",24,"Male","Unknown","Hispanic/Latino","343","357","353","Unknown","Unknown",0,0,"Midland High School","OTHER","7714"
"Engineering","Math and Science",32,"Female","Yes","Hispanic/Latino","933","937","937","Some High School","Some High School",0,0,"VIOLA M COLEMAN HIGH SCHOOL","FED PELL GRANT","0"
"Welding","Career and Technical",37,"Male","Unknown","Hispanic/Latino","346","362","366","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Education","Education",35,"Female","Unknown","White","228","180","221","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Fire Science Technology","Health Science",35,"Unknown","No","White","NULL","220","231","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"Midland High School","OTHER","2798"
"Nursing-Vocational","Health Science",45,"Female","Unknown","Black or African American","337","351","342","Some College","Some College",0,1,"Midland High School","OTHER","0"
"Business Administration","Business",27,"Female","No","Hispanic/Latino","344","360","361","Associate Degree","High School Diploma or GED",0,0,"RICHARD MILBURN ACADEMY","FED PELL GRANT","2418"
"Psychology","Social and Behavioral Science",32,"Female","Unknown","Hispanic/Latino","327","357","355","Unknown","Unknown",0,0,"Texas Ged","FED PELL GRANT","0"
"Business Management","Business",52,"Female","Unknown","Black or African American","310","354","360","Unknown","Some College",0,0,"Texas Ged","FED PELL GRANT","0"
"Computer Information Technology","Career and Technical",25,"Male","Unknown","White","942","354","348","Unknown","Unknown",0,0,"STANTON HIGH SCHOOL","FED PELL GRANT","0"
"Aviation Maintenance Technology","Career and Technical",24,"Male","No","White","367","371","361","Bachelor/Four-year Degree","Some College",0,0,"Texas Resident Individual Appro","FED PELL GRANT","4999"
"Fire Science Technology","Health Science",32,"Female","Unknown","Hispanic/Latino","327","357","355","Unknown","Unknown",0,0,"Texas Ged","FED PELL GRANT","0"
"Business Administration","Business",23,"Female","Unknown","Asian","351","345","339","Unknown","Unknown",0,0,"MISD- LHS","OTHER","1738"
"Arts","Language and Fine Arts",24,"Male","Unknown","Hispanic/Latino","351","361","357","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Welding","Career and Technical",25,"Male","Yes","Hispanic/Latino","354","364","372","High School Diploma or GED","Some High School",0,1,"MISD- LHS","OTHER","9999999"
"Nursing-Vocational","Health Science",28,"Female","Unknown","Hispanic/Latino","336","345","346","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","0"
"Health Information Management","Health Science",37,"Female","Unknown","Black or African American","23","46","215","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Nursing-Vocational","Health Science",34,"Female","Unknown","Black or African American","37","45","89","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Biology","Math and Science",24,"Female","No","Hispanic/Latino","353","NULL","NULL","Some College","Bachelor/Four-year Degree",0,0,"BALMORHEA HIGH SCHOOL","OTHER","2515"
"Organizational Management","Business",24,"Male","Unknown","White","350","360","352","Unknown","Unknown",0,0,"Midland High School","OTHER","19006"
"Computer Information Technology","Career and Technical",26,"Male","Unknown","Hispanic/Latino","350","240","231","Unknown","Unknown",0,0,"NORTH FORNEY HIGH SCHOOL","OTHER","0"
"Business Administration","Business",45,"Female","Unknown","Hispanic/Latino","321","367","351","Unknown","Unknown",0,0,"SANTA TERESA HIGH SCHOOL","OTHER","0"
"Nursing-Vocational","Health Science",22,"Female","Unknown","Hispanic/Latino","344","365","356","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","9999999"
"Substance Abuse Counseling","Health Science",29,"Female","Yes","Hispanic/Latino","333","NULL","NULL","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","0"
"Substance Abuse Counseling","Health Science",46,"Male","Unknown","American Indian or Alaska Native","236","240","251","Unknown","Unknown",0,0,"TEXAS TECH UNIVERSITY HS","OTHER","355"
"Geography","Social and Behavioral Science",21,"Male","Unknown","Hispanic/Latino","352","358","361","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","12690"
"Arts","Language and Fine Arts",60,"Female","No","White","231","240","278","Some High School","Bachelor/Four-year Degree",0,0,"CENTRAL HIGH SCHOOL","OTHER","9999999"
"Business Management","Business",25,"Male","Yes","Hispanic/Latino","950","940","940","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","3101"
"Business Management","Business",28,"Female","Unknown","White","342","NULL","NULL","Some College","Some College",0,0,"MISD- LHS","OTHER","1029"
"Nursing-Vocational","Health Science",25,"Female","Yes","White","345","345","348","High School Diploma or GED","Some High School",0,0,"Midland High School","FED PELL GRANT","1700"
"Office Systems Technology","Career and Technical",42,"Female","Unknown","Hispanic/Latino","324","360","345","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","1417"
"Business Administration","Business",33,"Female","Unknown","Hispanic/Latino","328","366","369","Some College","High School Diploma or GED",0,1,"Texas Ged","FED PELL GRANT","0"
"Automotive Technology","Career and Technical",22,"Male","Unknown","Hispanic/Latino","353","367","359","Unknown","Unknown",0,0,"MISD- LHS","OTHER","26467"
"Business Administration","Business",32,"Female","Yes","Hispanic/Latino","326","350","353","Some High School","Some High School",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",38,"Female","Yes","Hispanic/Latino","344","373","358","No High School","No High School",0,0,"RANKIN HIGH SCHOOL","OTHER","445"
"Office Systems Technology","Career and Technical",38,"Female","Yes","Hispanic/Latino","211","240","244","High School Diploma or GED","Some High School",1,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","11715"
"Cosmetology","Career and Technical",32,"Female","Yes","Hispanic/Latino","38","69","74","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","0"
"Office Systems Technology","Career and Technical",43,"Female","No","Hispanic/Latino","341","NULL","NULL","Bachelor/Four-year Degree","Some College",0,0,"PFLUGERVILLE HIGH SCHOOL","FED PELL GRANT","0"
"Education","Education",34,"Female","Unknown","Black or African American","NULL","84","93","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Psychology","Social and Behavioral Science",25,"Female","Unknown","Hispanic/Latino","329","350","354","Unknown","Unknown",0,1,"MISD- LHS","FED PELL GRANT","0"
"Substance Abuse Counseling","Health Science",34,"Male","Unknown","Hispanic/Latino","335","348","364","Unknown","Unknown",0,0,"Texas Ged","OTHER","0"
"Engineering","Math and Science",22,"Male","Unknown","White","354","354","351","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Office Systems Technology","Career and Technical",33,"Female","Unknown","Hispanic/Latino","936","924","924","High School Diploma or GED","Unknown",0,0,"Texas Ged","OTHER","0"
"English","Language and Fine Arts",25,"Female","No","Hispanic/Latino","351","353","353","No High School","Associate Degree",0,0,"Midland High School","OTHER","9999999"
"Nursing-Associate Degree","Health Science",24,"Female","Yes","Hispanic/Latino","359","370","363","No High School","No High School",0,0,"Midland High School","OTHER","0"
"Business Management","Business",24,"Male","Unknown","White","350","360","352","Unknown","Unknown",0,0,"Midland High School","OTHER","8449"
"Business Management","Business",47,"Male","Unknown","Hispanic/Latino","NULL","56","NULL","Unknown","Unknown",0,0,"PERTH AMBOY HIGH SCHOOL","OTHER","9999999"
"Paralegal","Career and Technical",29,"Female","Yes","White","349","33","82","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","9999999"
"Health Information Management","Health Science",26,"Male","No","White","962","373","365","High School Diploma or GED","Graduate/Professional Degree",0,0,"MISD- LHS","FED PELL GRANT","0"
"Biology","Math and Science",26,"Female","Unknown","White","356","367","362","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Office Systems Technology","Career and Technical",36,"Female","Yes","Black or African American","190","240","248","High School Diploma or GED","No High School",0,0,"Midland High School","OTHER","0"
"Paralegal","Career and Technical",31,"Female","Unknown","White","349","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Criminal Justice","Career and Technical",27,"Female","Yes","Hispanic/Latino","343","240","260","High School Diploma or GED","High School Diploma or GED",0,1,"PENN FOSTER HIGH SCHOOL","FED PELL GRANT","0"
"Diesel Technology","Career and Technical",24,"Male","Unknown","Hispanic/Latino","341","362","364","Unknown","Unknown",0,0,"Midland High School","OTHER","80"
"Business Administration","Business",25,"Male","Yes","Hispanic/Latino","355","362","346","Some High School","Some High School",0,0,"MISD- LHS","OTHER","0"
"Air Conditioning, Heating and Refrigeration Technology","Career and Technical",34,"Male","Unknown","Black or African American","36","84","77","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Paralegal","Career and Technical",30,"Female","Yes","Hispanic/Latino","48","73","94","High School Diploma or GED","No High School",0,0,"BLADENSBURG HIGH SCHOOL","OTHER","0"
"Biology","Math and Science",24,"Female","Yes","Hispanic/Latino","343","350","355","High School Diploma or GED","High School Diploma or GED",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Computer-Aided Drafting and Design","Career and Technical",38,"Male","Yes","Hispanic/Latino","290","200","205","Some High School","High School Diploma or GED",0,0,"LAMESA HIGH SCHOOL","OTHER","2235"
"Office Systems Technology","Career and Technical",41,"Female","Yes","Hispanic/Latino","54","86","244","Some High School","Some High School",0,0,"MISD- LHS","OTHER","10692"
"Biology","Math and Science",36,"Male","Unknown","Black or African American","312","337","335","Unknown","Unknown",0,0,"Unknown International High School","FED PELL GRANT","0"
"Education","Education",27,"Female","Unknown","Hispanic/Latino","325","348","341","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Cosmetology","Career and Technical",27,"Female","Unknown","Black or African American","344","NULL","NULL","Unknown","Some High School",0,0,"VIOLA M COLEMAN HIGH SCHOOL","FED PELL GRANT","0"
"Biology","Math and Science",37,"Female","Yes","White","346","374","376","High School Diploma or GED","High School Diploma or GED",0,0,"EARLY HIGH SCHOOL","OTHER","5237"
"Nursing-Vocational","Health Science",33,"Female","Yes","Hispanic/Latino","328","358","357","Some High School","Some High School",0,0,"Out Of State Unknown Ceeb Code","FED PELL GRANT","0"
"Welding","Career and Technical",24,"Male","Unknown","Hispanic/Latino","342","360","362","Unknown","Unknown",0,0,"MISD- LHS","OTHER","5883"
"Energy Technology","Career and Technical",21,"Male","Yes","Hispanic/Latino","NULL","950","950","High School Diploma or GED","High School Diploma or GED",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","9999999"
"Psychology","Social and Behavioral Science",24,"Female","Unknown","White","333","352","348","Unknown","Unknown",0,0,"KERMIT HIGH SCHOOL","FED PELL GRANT","0"
"Cosmetology","Career and Technical",36,"Female","Unknown","Hispanic/Latino","346","355","358","Unknown","Some College",0,0,"MISD- LHS","FED PELL GRANT","0"
